Date,Open,High,Low,Close,Adj Close,Volume
2013-05-23,17137.69921875,17214.69921875,16998.400390625,17070.150390625,17070.150390625,14933000
2013-05-24,17138.05078125,17171.55078125,17000.849609375,17093.80078125,17093.80078125,14143000
2013-05-27,17126.599609375,17298.69921875,17116.19921875,17293.25,17293.25,14556000
2013-05-28,17265.94921875,17498.650390625,17214.400390625,17424.30078125,17424.30078125,18643000
2013-05-29,17460.25,17559.75,17359.05078125,17547.44921875,17547.44921875,15034000
2013-05-30,17524.44921875,17925.44921875,17515.650390625,17884.55078125,17884.55078125,30197000
2013-05-31,17792.400390625,17792.400390625,17468.19921875,17509.05078125,17509.05078125,20022000
2013-06-03,17512.400390625,17528.400390625,17302.5,17412.75,17412.75,11972000
2013-06-04,17405.849609375,17542.900390625,17405.849609375,17485.25,17485.25,14853000
2013-06-05,17419.19921875,17449.650390625,17277.05078125,17394.69921875,17394.69921875,13162000
2013-06-06,17366.349609375,17452.75,17255.650390625,17378.0,17378.0,11659000
2013-06-07,17340.05078125,17494.650390625,17280.349609375,17315.099609375,17315.099609375,14539000
2013-06-10,17341.05078125,17421.099609375,17314.55078125,17373.349609375,17373.349609375,13524000
2013-06-11,17294.19921875,17361.44921875,17213.650390625,17251.94921875,17251.94921875,16188000
2013-06-12,17214.0,17230.5,16967.5,17066.900390625,17066.900390625,16441000
2013-06-13,16948.69921875,16994.0,16783.69921875,16872.19921875,16872.19921875,17114000
2013-06-14,16965.19921875,17056.80078125,16902.5,17037.75,17037.75,16013000
2013-06-17,17081.900390625,17143.69921875,16887.349609375,17123.05078125,17123.05078125,12158000
2013-06-18,17091.400390625,17139.75,17017.349609375,17063.25,17063.25,13526000
2013-06-19,17044.849609375,17086.44921875,16971.25,17061.19921875,17061.19921875,17610000
2013-06-20,16963.400390625,16963.69921875,16638.80078125,16747.19921875,16747.19921875,22258000
2013-06-21,16716.19921875,16821.55078125,16594.599609375,16696.349609375,16696.349609375,20933000
2013-06-24,16628.55078125,16703.80078125,16242.5498046875,16341.7998046875,16341.7998046875,24448000
2013-06-25,16392.25,16509.80078125,16180.099609375,16425.25,16425.25,21292000
2013-06-26,16497.400390625,16671.69921875,16410.05078125,16567.099609375,16567.099609375,21690000
2013-06-27,16689.849609375,16727.400390625,16412.19921875,16564.44921875,16564.44921875,40046000
2013-06-28,16613.5,16821.099609375,16586.349609375,16688.19921875,16688.19921875,33392000
2013-07-01,16715.94921875,16988.05078125,16662.75,16965.150390625,16965.150390625,25417000
2013-07-02,16949.44921875,16969.80078125,16842.75,16938.75,16938.75,18370000
2013-07-03,16870.650390625,17032.75,16765.05078125,16998.94921875,16998.94921875,19468000
2013-07-04,17022.25,17512.44921875,17022.25,17489.94921875,17489.94921875,17508000
2013-07-05,17737.55078125,17840.80078125,17603.94921875,17636.349609375,17636.349609375,16909000
2013-07-08,17573.099609375,17821.69921875,17476.30078125,17748.30078125,17748.30078125,12726000
2013-07-09,17729.349609375,17833.75,17729.099609375,17782.5,17782.5,12328000
2013-07-10,17806.69921875,17806.69921875,17565.650390625,17666.25,17666.25,12444000
2013-07-11,17888.0,17978.0,17716.25,17953.69921875,17953.69921875,11347000
2013-07-12,17964.099609375,17964.099609375,17764.75,17874.75,17874.75,10514000
2013-07-15,17918.44921875,18087.099609375,17824.80078125,18067.349609375,18067.349609375,17815000
2013-07-16,17894.75,18427.55078125,17894.75,18362.099609375,18362.099609375,14230000
2013-07-17,18396.099609375,19111.75,18396.099609375,19001.150390625,19001.150390625,43094000
2013-07-18,19008.80078125,19290.19921875,18950.30078125,19133.55078125,19133.55078125,30570000
2013-07-19,19179.849609375,19306.05078125,19035.25,19100.849609375,19100.849609375,19469000
2013-07-22,19032.5,19178.599609375,19032.5,19105.099609375,19105.099609375,13094000
2013-07-23,19174.05078125,19432.94921875,19162.30078125,19407.849609375,19407.849609375,16051000
2013-07-24,19381.25,19539.400390625,19106.150390625,19344.19921875,19344.19921875,20900000
2013-07-25,19277.900390625,19322.599609375,18562.75,18685.80078125,18685.80078125,26528000
2013-07-26,18717.650390625,18868.150390625,18276.94921875,18743.349609375,18743.349609375,30011000
2013-07-29,18621.25,18657.75,18136.75,18258.849609375,18258.849609375,20728000
2013-07-30,18173.69921875,18247.44921875,17846.75,17898.0,17898.0,17177000
2013-07-31,17848.5,17923.650390625,17334.44921875,17480.94921875,17480.94921875,27511000
2013-08-01,17502.25,17868.650390625,17351.25,17435.150390625,17435.150390625,22101000
2013-08-02,17492.44921875,17558.25,16983.349609375,17148.150390625,17148.150390625,16734000
2013-08-05,17191.650390625,17459.349609375,17127.55078125,17262.44921875,17262.44921875,11936000
2013-08-06,17235.849609375,17251.80078125,16911.099609375,16950.400390625,16950.400390625,15376000
2013-08-07,16979.900390625,16995.5,16510.69921875,16687.099609375,16687.099609375,17024000
2013-08-08,16688.80078125,16846.30078125,16626.05078125,16797.400390625,16797.400390625,11958000
2013-08-12,16953.0,17258.25,16825.650390625,17198.94921875,17198.94921875,21003000
2013-08-13,17229.400390625,17351.0,17174.5,17325.349609375,17325.349609375,19701000
2013-08-14,17294.94921875,17424.150390625,17173.75,17353.69921875,17353.69921875,12450000
2013-08-16,17305.19921875,17444.400390625,16588.44921875,16684.650390625,16684.650390625,23249000
2013-08-19,16675.400390625,16675.400390625,16137.349609375,16313.349609375,16313.349609375,18634000
2013-08-20,16206.099609375,16569.400390625,15884.0498046875,16336.9501953125,16336.9501953125,23628000
2013-08-21,16533.69921875,16562.55078125,15648.9501953125,15805.0,15805.0,22705000
2013-08-22,15779.099609375,16124.599609375,15463.5498046875,16050.7998046875,16050.7998046875,24467000
2013-08-23,16115.400390625,16225.099609375,15870.599609375,16176.4501953125,16176.4501953125,20393000
2013-08-26,16262.599609375,16375.0,16138.2001953125,16210.349609375,16210.349609375,14371000
2013-08-27,16140.5,16140.5,15557.9501953125,15766.0,15766.0,23031000
2013-08-28,15660.849609375,15887.4501953125,15196.900390625,15703.5,15703.5,28135000
2013-08-29,15767.2998046875,16159.7001953125,15633.9501953125,16059.25,16059.25,22008000
2013-08-30,16072.099609375,16391.650390625,15896.7001953125,16283.0498046875,16283.0498046875,21394000
2013-09-02,16343.4501953125,16944.55078125,16343.4501953125,16828.349609375,16828.349609375,15904000
2013-09-03,16883.44921875,16964.05078125,15900.5,16048.75,16048.75,21397000
2013-09-04,16185.150390625,16187.2998046875,15879.0498046875,16126.400390625,16126.400390625,23246000
2013-09-05,16410.5,16748.150390625,16410.5,16606.30078125,16606.30078125,16915000
2013-09-06,16646.80078125,16773.80078125,16455.44921875,16678.44921875,16678.44921875,12597000
2013-09-10,16845.05078125,17646.150390625,16845.05078125,17576.30078125,17576.30078125,20602000
2013-09-11,17566.599609375,17595.0,17257.30078125,17376.900390625,17376.900390625,15983000
2013-09-12,17452.0,17582.94921875,17276.30078125,17506.0,17506.0,17210000
2013-09-13,17544.05078125,17622.650390625,17255.349609375,17306.400390625,17306.400390625,13711000
2013-09-16,17478.55078125,17635.400390625,17249.19921875,17382.349609375,17382.349609375,13546000
2013-09-17,17292.75,17537.75,17246.69921875,17499.5,17499.5,9069000
2013-09-18,17556.80078125,17799.099609375,17547.099609375,17748.900390625,17748.900390625,11303000
